Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,
12/12/2019 17:12:04,0,71.25C,22.9%,38.3%,0.33Hz,51.25C,0,
12/12/2019 17:12:14,1,71.31C,22.4%,37.9%,0.33Hz,0.06C,0,
12/12/2019 17:12:24,2,71.44C,21.4%,37.1%,0.33Hz,0.12C,0,
12/12/2019 17:12:34,3,71.56C,20.3%,36.3%,0.33Hz,0.12C,0,
12/12/2019 17:12:44,4,71.69C,19.3%,35.4%,0.33Hz,0.12C,0,
12/12/2019 17:12:54,5,71.69C,19.3%,35.4%,0.33Hz,0.0C,0,
12/12/2019 17:13:04,6,71.75C,18.8%,35.0%,0.33Hz,0.06C,0,
12/12/2019 17:13:14,7,71.81C,18.2%,34.6%,0.33Hz,0.06C,0,
12/12/2019 17:13:24,8,71.88C,17.7%,34.2%,0.33Hz,0.06C,0,
12/12/2019 17:13:34,9,72.0C,16.7%,33.3%,0.33Hz,0.12C,0,
12/12/2019 17:13:44,10,72.06C,16.2%,32.9%,0.33Hz,0.06C,0,
12/12/2019 17:13:54,11,72.12C,15.6%,32.5%,0.33Hz,0.06C,0,
12/12/2019 17:14:04,12,72.12C,15.6%,32.5%,0.33Hz,0.0C,0,
12/12/2019 17:14:14,13,72.12C,15.6%,32.5%,0.33Hz,0.0C,0,
12/12/2019 17:14:24,14,72.12C,15.6%,32.5%,0.33Hz,0.0C,0,
12/12/2019 17:14:34,15,72.12C,15.6%,32.5%,0.33Hz,0.0C,0,
12/12/2019 17:14:44,16,72.25C,14.6%,31.7%,0.33Hz,0.12C,0,
12/12/2019 17:14:54,17,72.25C,14.6%,31.7%,0.33Hz,0.0C,0,
12/12/2019 17:15:04,18,72.31C,14.1%,31.3%,0.33Hz,0.06C,0,
12/12/2019 17:15:14,19,72.31C,14.1%,31.3%,0.33Hz,0.0C,0,
12/12/2019 17:15:24,20,72.38C,13.5%,30.8%,0.33Hz,0.06C,0,
12/12/2019 17:15:34,21,72.38C,13.5%,30.8%,0.33Hz,0.0C,0,
12/12/2019 17:15:44,22,72.38C,13.5%,30.8%,0.33Hz,0.0C,0,
12/12/2019 17:15:54,23,72.38C,13.5%,30.8%,0.33Hz,0.0C,0,
12/12/2019 17:16:04,24,72.5C,12.5%,30.0%,0.33Hz,0.12C,0,
12/12/2019 17:16:14,25,72.56C,12.0%,29.6%,0.33Hz,0.06C,0,
12/12/2019 17:16:24,26,72.5C,12.5%,30.0%,0.33Hz,-0.06C,0,
12/12/2019 17:16:34,27,72.5C,12.5%,30.0%,0.33Hz,0.0C,0,
12/12/2019 17:16:44,28,72.56C,12.0%,29.6%,0.33Hz,0.06C,0,
12/12/2019 17:16:54,29,72.56C,12.0%,29.6%,0.33Hz,0.0C,0,
12/12/2019 17:17:04,30,72.69C,10.9%,28.8%,0.33Hz,0.12C,0,
12/12/2019 17:17:14,31,72.69C,10.9%,28.8%,0.33Hz,0.0C,0,
12/12/2019 17:17:24,32,72.69C,10.9%,28.8%,0.33Hz,0.0C,0,
12/12/2019 17:17:34,33,72.62C,11.5%,29.2%,0.33Hz,-0.06C,0,
12/12/2019 17:17:44,34,72.69C,10.9%,28.8%,0.33Hz,0.06C,0,
12/12/2019 17:17:54,35,72.69C,10.9%,28.8%,0.33Hz,0.0C,0,
12/12/2019 17:18:04,36,72.62C,11.5%,29.2%,0.33Hz,-0.06C,0,
12/12/2019 17:18:14,37,72.62C,11.5%,29.2%,0.33Hz,0.0C,0,
12/12/2019 17:18:24,38,72.62C,11.5%,29.2%,0.33Hz,0.0C,0,
12/12/2019 17:18:34,39,72.69C,10.9%,28.8%,0.33Hz,0.06C,0,
12/12/2019 17:18:44,40,72.69C,10.9%,28.8%,0.33Hz,0.0C,0,
12/12/2019 17:18:54,41,72.81C,9.9%,27.9%,0.33Hz,0.12C,0,
12/12/2019 17:19:04,42,72.81C,9.9%,27.9%,0.33Hz,0.0C,0,
12/12/2019 17:19:14,43,72.81C,9.9%,27.9%,0.33Hz,0.0C,0,
12/12/2019 17:19:24,44,72.81C,9.9%,27.9%,0.33Hz,0.0C,0,
12/12/2019 17:19:34,45,72.75C,10.4%,28.3%,0.33Hz,-0.06C,0,
12/12/2019 17:19:44,46,72.69C,10.9%,28.8%,0.33Hz,-0.06C,0,
12/12/2019 17:19:54,47,72.69C,10.9%,28.8%,0.33Hz,0.0C,0,
12/12/2019 17:20:04,48,72.69C,10.9%,28.8%,0.33Hz,0.0C,0,
12/12/2019 17:20:14,49,72.62C,11.5%,29.2%,0.33Hz,-0.06C,0,
12/12/2019 17:20:24,50,72.56C,12.0%,29.6%,0.33Hz,-0.06C,0,
12/12/2019 17:20:34,51,72.56C,12.0%,29.6%,0.33Hz,0.0C,0,
12/12/2019 17:20:44,52,72.62C,11.5%,29.2%,0.33Hz,0.06C,0,
12/12/2019 17:20:54,53,72.62C,11.5%,29.2%,0.33Hz,0.0C,0,
12/12/2019 17:21:04,54,72.62C,11.5%,29.2%,0.33Hz,0.0C,0,
12/12/2019 17:21:14,55,72.62C,11.5%,29.2%,0.33Hz,0.0C,0,
12/12/2019 17:21:24,56,72.69C,10.9%,28.8%,0.33Hz,0.06C,0,
